"dip_dir:0"	"dip_dir:1"	"dip_dir:2"	"normal_dir:0"	"normal_dir:1"	"normal_dir:2"	"strike_dir:0"	"strike_dir:1"	"strike_dir:2"	"Points:0"	"Points:1"	"Points:2"
0.99230272	-0.026453681	0.1103204	-0.10880454	0.0019714906	0.9940278	-0.026516563	-0.99841586	0	30553.609	-15428.456	-5426.7207
0.679475	-0.59662434	0.42697096	-0.32085044	0.28169491	0.90424226	-0.65980083	-0.75144051	0	-74361.359	47621.902	-30511.422
0.68086994	-0.59765438	0.42334592	-0.31817928	0.27924163	0.90597055	-0.65967529	-0.75155055	0	-73635.375	47185.609	-30107.438
0.99681856	-0.0082917927	0.067464658	-0.067235437	0.00087286029	0.99771958	-0.0083317004	-0.99910786	0	18749.326	-8334.4805	-5592.9888
0.99748802	0.032410397	0.062893658	-0.062644012	-0.0019085556	0.99803257	0.032466786	-0.99946849	0	19220.334	-8617.541	-5560.3071
0.80638661	-0.52407992	0.27393285	-0.22926726	0.14548828	0.96242802	-0.54424906	-0.83889806	0	-3109.4351	4801.8979	-8384.79
0.78395215	-0.55521317	0.26557252	-0.21659947	0.14735704	0.96465704	-0.57500146	-0.81408203	0	-2870.1426	4658.0913	-8314.6338
0.75367323	-0.61137077	0.24121236	-0.1873089	0.15196512	0.97046749	-0.62998048	-0.77660789	0	-43449.527	29044.934	-18219.605
0.75726052	-0.60929599	0.23517928	-0.18321587	0.14743187	0.97195307	-0.62688182	-0.77911249	0	-41935.977	28135.34	-17789.281
0.67672568	-0.59456586	0.43419749	-0.32618185	0.2865779	0.90081763	-0.6600308	-0.7512383	0	-75839.5	48510.215	-31327.877
0.71626346	-0.61805959	0.32387861	-0.24519132	0.21159357	0.94606582	-0.65330038	-0.75709648	0	-59431.855	38649.773	-23592.088
0.71973611	-0.61895611	0.31442933	-0.23838862	0.20501218	0.94928113	-0.65202914	-0.75819287	0	-57888.566	37722.309	-22988.818
0.99692531	0.03775345	0.062541307	-0.062248163	-0.0022248581	0.99805665	0.037819267	-0.99888106	0	19262.154	-8642.6729	-5557.6602
0.99442146	0.059437582	0.060869286	-0.060414166	-0.0032171609	0.99815494	0.059525925	-0.9962778	0	19403.18	-8727.4238	-5549.9917
0.9831231	0.16685737	0.051521552	-0.050323188	-0.0083892613	0.9986924	0.16707231	-0.98443402	0	20152.096	-9177.498	-5510.5151
0.9704713	0.23151137	0.047955123	-0.046237227	-0.01037416	0.9988539	0.23175442	-0.97161611	0	20399.092	-9325.9346	-5500.8623
0.69997018	-0.70633002	0.097057495	-0.067808992	0.067894884	0.99536053	-0.70966793	-0.70332955	0	5555.6396	-405.51987	-6906.8716
0.73156547	-0.66820624	0.092636168	-0.067815448	0.06153938	0.99575423	-0.67107483	-0.73474426	0	5970.1875	-654.64923	-6859.4355
0.724644	-0.61944175	0.30193782	-0.2294992	0.19618921	0.95332278	-0.64977495	-0.76012586	0	-55757.621	36441.684	-22195.871
0.95178888	-0.19437696	0.2277561	-0.22181671	0.043423316	0.97387296	-0.19926443	-0.9777006	0	36673.441	-19106.27	-4548.3965
0.94992527	-0.19140553	0.23581135	-0.22972993	0.04521953	0.97203171	-0.19673389	-0.97756344	0	36843.543	-19208.494	-4504.6108
0.77229175	-0.59746422	0.21584087	-0.1707047	0.1320788	0.97642577	-0.61189203	-0.7909365	0	-36290.793	24742.775	-16281.664
0.76778066	-0.60117356	0.22152665	-0.17439656	0.13658635	0.97514827	-0.61650023	-0.78734534	0	-37931.809	25728.969	-16708.119
0.76904331	-0.60015314	0.21997285	-0.17340638	0.13533572	0.97550712	-0.61522404	-0.78835218	0	-37492.777	25465.127	-16591.15
0.71459435	-0.61771002	0.32830551	-0.24836563	0.21469171	0.94457281	-0.65395924	-0.75652931	0	-60154.797	39084.238	-23872.357
0.91696934	0.38262876	0.06912135	-0.060801897	-0.027770512	0.9976264	0.38371976	-0.91921326	0	27823.838	-13787.956	-5656.6045
0.96589903	0.23561491	0.081588526	-0.077342285	-0.019784284	0.9967904	0.23647205	-0.96911427	0	28410.537	-14140.542	-5626.5415
0.74612106	-0.61527748	0.25441702	-0.19626824	0.16186597	0.96709491	-0.6362166	-0.77150801	0	-46516.066	30887.82	-19122.807
0.75056152	-0.61303539	0.24658742	-0.19095326	0.15600021	0.96910855	-0.63258373	-0.77448442	0	-44731.512	29815.363	-18593.314
0.72493288	-0.61947972	0.3011911	-0.22896677	0.19566297	0.95356663	-0.6496477	-0.76023522	0	-55630.074	36365.031	-22148.025
0.7254061	-0.61947954	0.30003334	-0.22814805	0.19483888	0.95392641	-0.64940296	-0.76044415	0	-55422.008	36239.988	-22073.639
-0.18976876	0.961943	0.047095754	0.010956596	-0.043690508	0.99891927	0.96301864	0.19008116	0	23119.586	-10960.859	-5493.9375
-0.36469126	0.92926876	0.052852469	0.019693964	-0.048391036	0.99862879	0.93056088	0.36523434	0	23467.904	-11170.187	-5507.4268
-0.17440959	0.95073518	0.061480332	0.007295772	-0.055112178	0.99830731	0.9525837	0.17457424	0	25927.998	-12648.621	-5659.8896
-0.31534133	0.9455393	0.063368434	0.018314883	-0.057304041	0.9981552	0.94748001	0.31594065	0	25557.666	-12426.062	-5643.375
0.91613988	-0.17054867	0.36258916	-0.35602217	0.06613143	0.93206245	-0.18296502	-0.98311815	0	-7640.1704	7524.7168	-10222.328
0.91099652	-0.19512721	0.36069547	-0.3520355	0.07461412	0.93282671	-0.20895712	-0.97685982	0	-7342.3428	7345.7324	-10094.438
0.87824883	-0.33229325	0.33780198	-0.31549471	0.11581881	0.94120014	-0.35215681	-0.93389776	0	-5341.4004	6143.2339	-9242.5156
0.86591424	-0.38410005	0.32031291	-0.29230625	0.12743615	0.94777072	-0.40487583	-0.91436445	0	-4614.1377	5706.1733	-8931.6777
0.82760938	-0.55340962	0.081764267	-0.067605439	0.044998257	0.99668001	-0.5552639	-0.83040568	0	7272.4219	-1437.2482	-6728.249
0.86801198	-0.48671853	0.075826047	-0.065625132	0.036678752	0.99715875	-0.48811741	-0.870522	0	8095.4551	-1931.8634	-6653.4961
0.84806812	-0.42523312	0.30793078	-0.27507815	0.13336951	0.95154358	-0.44601726	-0.89228258	0	-4109.4419	5402.8682	-8751.6309
0.98701947	-0.050166943	0.1138619	-0.11223228	0.0045509458	0.9935901	-0.050369687	-0.99350412	0	31062.527	-15734.299	-5367.7339
-0.37402489	0.90710477	0.066736091	0.023352056	-0.059152596	0.9979063	0.90916775	0.37480184	0	25307.207	-12275.546	-5627.2559
0.74080853	-0.61718157	0.26511567	-0.20367492	0.16969628	0.96421853	-0.64008849	-0.76830045	0	-48803.219	32262.32	-19831.328
0.74176867	-0.61680632	0.2632363	-0.20237902	0.16831427	0.9647197	-0.63936975	-0.76889424	0	-48401.965	32021.182	-19707.971
0.99068365	-0.10960581	0.07957148	-0.079027351	0.0087844433	0.99683289	-0.10995772	-0.99383477	0	17241.18	-7428.1348	-5709.6299
0.99116064	-0.10654387	0.078831915	-0.078326146	0.0084426177	0.99689087	-0.10687842	-0.99425573	0	17343.254	-7489.479	-5700.9761
0.98547118	-0.14796642	0.083376028	-0.082410783	0.012408571	0.99652078	-0.14848632	-0.98891442	0	16452.445	-6954.1323	-5778.8579
0.7354517	-0.61856765	0.27654643	-0.21162686	0.17800416	0.96100137	-0.64367385	-0.7652984	0	-51081.562	33631.527	-20570.082
0.73927586	-0.61758759	0.26839172	-0.20595787	0.17207367	0.9633023	-0.64111985	-0.76743926	0	-49462.223	32658.359	-20043.641
0.96884854	-0.22747112	0.097891559	-0.095257034	0.022404478	0.99519732	-0.22857332	-0.97352657	0	14332.887	-5680.3491	-5989.313
0.97042693	-0.22153006	0.095428457	-0.092983953	0.021280044	0.99543897	-0.22255074	-0.97487567	0	14642.568	-5866.4575	-5955.6816
0.98306663	0.090165263	0.09314571	-0.090423647	-0.010155886	0.99574494	0.0907201	-0.9873917	0	29080.9	-14543.408	-5572.79
0.98555598	0.074571053	0.097179217	-0.094885335	-0.0080234604	0.99539169	0.075003112	-0.99024018	0	29331.736	-14694.152	-5551.208
0.98925499	0.018406169	0.10208743	-0.10017077	-0.0033824936	0.99486997	0.018653573	-0.99448409	0	29710.467	-14921.757	-5514.1064
0.77012822	-0.62873778	0.089916704	-0.069291928	0.056031668	0.99598842	-0.6312798	-0.77329696	0	6343.0703	-878.73914	-6821.7285
0.95958352	-0.25996135	0.10769082	-0.10390809	0.028153718	0.9941882	-0.26148241	-0.9651966	0	13207.647	-5004.1187	-6120.6235
0.95964883	-0.25978024	0.10751617	-0.10374314	0.028094271	0.99420666	-0.26129604	-0.96524419	0	13230.606	-5017.916	-6117.8906
0.90087955	-0.42650375	0.075874675	-0.0681391	0.031978598	0.99716076	-0.42771914	-0.90349204	0	8936.9404	-2437.5676	-6583.5259
0.90996291	-0.40726952	0.076175771	-0.069115984	0.030545079	0.99713852	-0.40843219	-0.91262691	0	9222.7383	-2609.3223	-6559.0376
0.23565726	0.96451694	0.11661415	-0.010299197	-0.084620205	0.99620984	0.97154569	-0.23619527	0	-22241.041	16299.348	-13480.608
-0.11186477	0.91415275	0.19270154	0.011493263	-0.16073785	0.98507972	0.93205786	0.11222801	0	-20812.775	15441.009	-13598.579
0.98674637	-0.04824577	0.11577483	-0.11333598	0.0042006882	0.99344994	-0.048423656	-0.99345242	0	32386.297	-16529.84	-5211.3228
0.70641802	0.70390993	0.059774442	-0.040226855	-0.038115675	0.99829931	0.70518927	-0.70780287	0	27190.102	-13407.102	-5677.1084
0.32989035	-0.93087031	0.13764941	-0.045828058	0.12663605	0.99082983	-0.93977932	-0.33319885	0	2819.5273	1238.7914	-7202.0386
0.98805255	-0.051519404	0.11602699	-0.11374153	0.0046880061	0.99342513	-0.051730707	-0.99479514	0	32077.5	-16344.263	-5248.3066
0.94741568	-0.19468555	0.25208591	-0.24630255	0.050031084	0.96784752	-0.20105408	-0.97908972	0	37274.906	-19467.73	-4386.4653
0.94740348	-0.19350028	0.25325816	-0.24751733	0.050141529	0.96755407	-0.19992418	-0.97935606	0	37305.371	-19486.039	-4377.9106
0.98460249	-0.15274597	0.084284671	-0.083239268	0.012962377	0.9964442	-0.15329557	-0.98811849	0	16298.157	-6861.4106	-5792.9971
0.71188708	-0.61687601	0.33561227	-0.25362586	0.21977949	0.94197994	-0.65487474	-0.75573703	0	-61303.473	39774.551	-24340.617
0.99067378	-0.01387865	0.10802314	-0.1061992	0.00061562215	0.99430251	-0.013869343	-0.99650878	0	30268.248	-15256.964	-5457.8354
-0.42863332	0.89785119	0.056362652	0.024574568	-0.050128916	0.99842514	0.89927181	0.42934701	0	23666.756	-11289.69	-5519.1978
-0.47519097	0.87414273	0.063034973	0.029632844	-0.054973679	0.99803247	0.8758946	0.47612662	0	24089.084	-11543.495	-5544.2505
0.68352165	-0.60065591	0.41463407	-0.31147415	0.27367594	0.90994297	-0.66009675	-0.75118052	0	-72615.68	46572.805	-29576.018
0.68688457	-0.60393974	0.4042797	-0.30361352	0.26693647	0.91463624	-0.660305	-0.75099753	0	-71408.273	45847.195	-28950.314
0.81113702	-0.55789197	0.16806543	-0.13685451	0.095869833	0.9857082	-0.56624467	-0.82287605	0	-26293.225	18734.574	-13858.124
0.8365509	-0.52872344	0.1385011	-0.11543454	0.073246839	0.99054374	-0.53396225	-0.84471212	0	-25326.605	18153.668	-13665.575
0.87989126	-0.20864714	0.14297215	-0.092204421	0.048688158	0.99320274	-0.21184152	-0.88923193	0	-24769.006	17818.568	-13610.565
0.91137175	-0.40277218	0.076586686	-0.069637912	0.030277978	0.99710251	-0.40392814	-0.91407514	0	9275.7012	-2641.1514	-6553.9961
