X_Center	BPR1_Y	BPR2_Y	U1518_Y	U1519_Y	CNST_X	GISB_X	MAKO_X	TKAR_X	AHTI_X	MATW_X	CNST_Y	GISB_Y	MAKO_Y	TKAR_Y	AHTI_Y	MATW_Y	U1518_dilatation	U1519_dilatation
-1.500000000000000000e+05	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.400000000000000000e+05	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.300000000000000000e+05	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.200000000000000000e+05	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.100000000000000000e+05	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.000000000000000000e+05	-4.094816278914917892e-04	1.682785940661546170e-04	8.334931811126351808e-05	-8.242909592240389412e-04	-6.503565283530120256e-02	-4.852157328624757265e-02	-5.609784711424717352e-02	-4.723287701045093823e-02	-4.271241322731472723e-02	-4.385987850255931852e-02	-3.364527631300907179e-02	-9.158383319428062275e-02	-2.455472300091407489e-02	3.225163348027356575e-02	-9.041061749437095951e-02	8.375709094534710200e-03	-1.135452140007151248e-09	1.577357151442081183e-09
-9.000000000000000000e+04	-1.295385081481468734e-03	5.197986412454629987e-06	-2.023214755972997051e-04	-2.252441807075514051e-03	-1.494298532099814780e-01	-5.376278195603448329e-02	-1.464024520595113010e-01	-1.176328509356584506e-01	-5.702242044755306133e-02	-5.466573564673168212e-02	-1.302966082149707994e-01	-1.437401812545937609e-02	-1.004604656981397115e-01	5.660881776016574163e-02	5.296294963213012824e-03	4.336385076319362181e-03	-3.142492754002511937e-09	4.184295079427101034e-09
-8.000000000000000000e+04	-1.618118277607929253e-03	-1.934775870841676888e-04	-4.231138343850817784e-04	-2.857675451683711759e-03	-6.348913503684963655e-02	-1.199334231143787399e-01	-9.559341228051418393e-02	-7.285253260692267641e-02	-1.212162465819740242e-01	-2.707889151941656608e-02	-1.087372227086413345e-01	7.499971740028021916e-02	-1.499854296328626824e-01	1.541998558781616790e-02	7.135293591245070455e-02	-3.845389612956258071e-04	-5.124448739532120374e-09	6.614000176273484428e-09
-7.000000000000000000e+04	-2.458526285171800177e-03	6.315270349975081465e-04	1.884345637170106442e-04	-6.094055669777154877e-03	-1.298209553037399377e-01	-8.995755626503346147e-02	-1.021168587491064345e-01	-3.447060958010811360e-02	-8.480495508453717024e-02	-1.175879576355974392e-02	1.219270014640690403e-01	3.061477710682898937e-02	1.080838173601288144e-01	3.464550258462152556e-03	2.681931070766041536e-02	-5.877359092743991925e-04	-2.316652600865233505e-08	2.076944752319625296e-08
-6.000000000000000000e+04	-3.074313471373078116e-03	-1.257150447791420111e-03	-1.376923326008616319e-03	-8.185570773728596469e-03	-1.432537231784203058e-01	-7.092488186578470299e-02	-1.522952326931385492e-01	-3.484619930036396418e-02	-6.771680493741806528e-02	-1.508167663950540742e-02	5.870394035806296429e-02	1.383249702767024372e-02	7.324712147855795552e-02	1.229647442705074801e-03	1.242258609367683300e-02	-1.385035666407636711e-03	-3.433638008593978010e-09	2.783755516770266484e-08
