#HOLE:,U1519A
#EXPEDITION:,372
#TOP:,0.6404
#BOTTOM:,617.0984
DEPTH_LSF,DTCO,DTSM,VCO,VSH
m,us/ft,us/ft,km/s,km/s
19.5380,189.38956,-999.25,1.6094,-999.25
19.6904,188.55411,-999.25,1.6165,-999.25
19.8428,186.84549,-999.25,1.6313,-999.25
19.9952,185.33714,-999.25,1.6446,-999.25
20.1476,184.78383,-999.25,1.6495,-999.25
20.3000,184.84683,-999.25,1.6489,-999.25
20.4524,185.51505,-999.25,1.6430,-999.25
20.6048,186.20750,-999.25,1.6369,-999.25
20.7572,185.65704,-999.25,1.6417,-999.25
20.9096,185.39737,-999.25,1.6440,-999.25
21.0620,185.37376,-999.25,1.6442,-999.25
21.2144,184.96320,-999.25,1.6479,-999.25
21.3668,183.46230,-999.25,1.6614,-999.25
21.5192,182.38994,-999.25,1.6711,-999.25
21.6716,183.19601,-999.25,1.6638,-999.25
21.8240,185.65488,-999.25,1.6418,-999.25
21.9764,187.29379,-999.25,1.6274,-999.25
22.1288,188.00488,-999.25,1.6212,-999.25
22.2812,188.29289,-999.25,1.6188,-999.25
22.4336,188.98227,-999.25,1.6128,-999.25
22.5860,190.07162,-999.25,1.6036,-999.25
22.7384,190.61604,-999.25,1.5990,-999.25
22.8908,190.07596,-999.25,1.6036,-999.25
23.0432,188.96855,-999.25,1.6130,-999.25
23.1956,187.73289,-999.25,1.6236,-999.25
23.3480,185.53609,-999.25,1.6428,-999.25
23.5004,183.75957,-999.25,1.6587,-999.25
23.6528,183.48003,-999.25,1.6612,-999.25
23.8052,184.21436,-999.25,1.6546,-999.25
23.9576,185.44080,-999.25,1.6437,-999.25
24.1100,185.78592,-999.25,1.6406,-999.25
24.2624,185.20763,-999.25,1.6457,-999.25
24.4148,185.60886,-999.25,1.6422,-999.25
24.5672,188.13831,-999.25,1.6201,-999.25
24.7196,189.20131,-999.25,1.6110,-999.25
24.8720,188.27020,-999.25,1.6189,-999.25
25.0244,185.66646,-999.25,1.6417,-999.25
25.1768,183.47853,-999.25,1.6612,-999.25
25.3292,182.08980,-999.25,1.6739,-999.25
25.4816,181.39314,-999.25,1.6803,-999.25
25.6340,181.25278,-999.25,1.6816,-999.25
25.7864,181.38162,-999.25,1.6804,-999.25
25.9388,181.79417,-999.25,1.6766,-999.25
26.0912,181.92897,-999.25,1.6754,-999.25
26.2436,181.93852,-999.25,1.6753,-999.25
26.3960,182.07230,-999.25,1.6741,-999.25
26.5484,182.48483,-999.25,1.6703,-999.25
26.7008,182.61978,-999.25,1.6690,-999.25
26.8532,182.62465,-999.25,1.6690,-999.25
27.0056,182.62466,-999.25,1.6690,-999.25
27.1580,182.62009,-999.25,1.6690,-999.25
27.3104,182.48166,-999.25,1.6703,-999.25
27.4628,181.93552,-999.25,1.6753,-999.25
27.6152,181.39253,-999.25,1.6803,-999.25
27.7676,181.38295,-999.25,1.6804,-999.25
27.9200,181.68622,-999.25,1.6776,-999.25
28.0724,181.56772,-999.25,1.6787,-999.25
28.2248,181.60516,-999.25,1.6784,-999.25
28.3772,181.35207,-999.25,1.6807,-999.25
28.5296,181.24719,-999.25,1.6817,-999.25
28.6820,181.24327,-999.25,1.6817,-999.25
28.8344,181.24326,-999.25,1.6817,-999.25
28.9868,181.24326,-999.25,1.6817,-999.25
29.1392,181.24326,-999.25,1.6817,-999.25
29.2916,181.24326,-999.25,1.6817,-999.25
29.4440,181.24326,-999.25,1.6817,-999.25
29.5964,181.24326,-999.25,1.6817,-999.25
29.7488,181.24326,-999.25,1.6817,-999.25
29.9012,181.24326,-999.25,1.6817,-999.25
30.0536,181.23715,-999.25,1.6818,-999.25
30.2060,181.05569,-999.25,1.6835,-999.25
30.3584,180.41624,-999.25,1.6894,-999.25
30.5108,179.96167,-999.25,1.6937,-999.25
30.6632,179.86511,-999.25,1.6946,-999.25
30.8156,179.86185,-999.25,1.6946,-999.25
30.9680,179.86183,-999.25,1.6946,-999.25
31.1204,179.87097,-999.25,1.6945,-999.25
31.2728,180.13866,-999.25,1.6920,-999.25
31.4252,180.96341,-999.25,1.6843,-999.25
31.5776,181.23340,-999.25,1.6818,-999.25
31.7300,181.24323,-999.25,1.6817,-999.25
31.8824,181.24326,-999.25,1.6817,-999.25
32.0348,181.24326,-999.25,1.6817,-999.25
32.1872,181.24326,-999.25,1.6817,-999.25
32.3396,181.24326,-999.25,1.6817,-999.25
32.4920,181.24326,-999.25,1.6817,-999.25
32.6444,181.24326,-999.25,1.6817,-999.25
32.7968,181.24326,-999.25,1.6817,-999.25
32.9492,181.24097,-999.25,1.6817,-999.25
33.1016,181.17178,-999.25,1.6824,-999.25
33.2540,180.89856,-999.25,1.6849,-999.25
33.4064,180.62956,-999.25,1.6874,-999.25
33.5588,180.69342,-999.25,1.6868,-999.25
33.7112,181.09872,-999.25,1.6831,-999.25
33.8636,181.09991,-999.25,1.6830,-999.25
34.0160,180.69250,-999.25,1.6868,-999.25
34.1684,180.55748,-999.25,1.6881,-999.25
34.3208,180.55713,-999.25,1.6881,-999.25
34.4732,180.69092,-999.25,1.6869,-999.25
34.6256,181.10355,-999.25,1.6830,-999.25
34.7780,181.23830,-999.25,1.6818,-999.25
34.9304,181.24631,-999.25,1.6817,-999.25
35.0828,181.33702,-999.25,1.6808,-999.25
35.2352,181.65669,-999.25,1.6779,-999.25
35.3876,181.88400,-999.25,1.6758,-999.25
35.5400,181.93231,-999.25,1.6753,-999.25
35.6924,181.93396,-999.25,1.6753,-999.25
35.8448,181.93396,-999.25,1.6753,-999.25
35.9972,181.93396,-999.25,1.6753,-999.25
36.1496,181.93396,-999.25,1.6753,-999.25
36.3020,181.93396,-999.25,1.6753,-999.25
36.4544,181.92938,-999.25,1.6754,-999.25
36.6068,181.80011,-999.25,1.6766,-999.25
36.7592,181.52609,-999.25,1.6791,-999.25
36.9116,181.93756,-999.25,1.6753,-999.25
37.0640,182.49812,-999.25,1.6702,-999.25
37.2164,183.18484,-999.25,1.6639,-999.25
37.3688,185.18507,-999.25,1.6459,-999.25
37.5212,187.09111,-999.25,1.6292,-999.25
37.6736,188.46030,-999.25,1.6173,-999.25
37.8260,188.26590,-999.25,1.6190,-999.25
37.9784,186.34767,-999.25,1.6357,-999.25
38.1308,184.58563,-999.25,1.6513,-999.25
38.2832,183.20113,-999.25,1.6637,-999.25
38.4356,183.48547,-999.25,1.6612,-999.25
38.5880,184.97997,-999.25,1.6477,-999.25
38.7404,187.30525,-999.25,1.6273,-999.25
38.8928,189.09283,-999.25,1.6119,-999.25
39.0452,189.50302,-999.25,1.6084,-999.25
39.1976,189.10728,-999.25,1.6118,-999.25
39.3500,187.59583,-999.25,1.6248,-999.25
39.5024,186.16263,-999.25,1.6373,-999.25
39.6548,185.19292,-999.25,1.6459,-999.25
39.8072,184.77411,-999.25,1.6496,-999.25
39.9596,184.70845,-999.25,1.6502,-999.25
40.1120,184.97815,-999.25,1.6478,-999.25
40.2644,185.94185,-999.25,1.6392,-999.25
40.4168,186.75752,-999.25,1.6321,-999.25
40.5692,187.32413,-999.25,1.6271,-999.25
40.7216,187.72679,-999.25,1.6236,-999.25
40.8740,188.39105,-999.25,1.6179,-999.25
41.0264,187.30257,-999.25,1.6273,-999.25
41.1788,184.02634,-999.25,1.6563,-999.25
41.3312,182.39621,-999.25,1.6711,-999.25
41.4836,182.78076,-999.25,1.6676,-999.25
41.6360,183.99788,-999.25,1.6565,-999.25
41.7884,185.08882,-999.25,1.6468,-999.25
41.9408,185.09924,-999.25,1.6467,-999.25
42.0932,184.23196,-999.25,1.6544,-999.25
42.2456,183.59689,-999.25,1.6602,-999.25
42.3980,182.71648,-999.25,1.6682,-999.25
42.5504,181.94342,-999.25,1.6752,-999.25
42.7028,181.38814,-999.25,1.6804,-999.25
42.8552,181.24818,-999.25,1.6817,-999.25
43.0076,181.23717,-999.25,1.6818,-999.25
43.1600,181.05566,-999.25,1.6835,-999.25
43.3124,180.42123,-999.25,1.6894,-999.25
43.4648,180.10001,-999.25,1.6924,-999.25
43.6172,180.40677,-999.25,1.6895,-999.25
43.7696,180.26627,-999.25,1.6908,-999.25
43.9220,179.30818,-999.25,1.6999,-999.25
44.0744,178.49178,-999.25,1.7076,-999.25
44.2268,177.93433,-999.25,1.7130,-999.25
44.3792,177.79469,-999.25,1.7143,-999.25
44.5316,177.78973,-999.25,1.7144,-999.25
44.6840,177.79430,-999.25,1.7143,-999.25
44.8364,177.92357,-999.25,1.7131,-999.25
44.9888,178.19757,-999.25,1.7105,-999.25
