#HOLE:,U1518B
#EXPEDITION:,372
#TOP:,54.5708
#BOTTOM:,593.3048
DEPTH_LSF,RHON
m,g/cm3
102.1196,1.934311
102.2720,1.918404
102.4244,1.935336
102.5768,1.941449
102.7292,1.947536
102.8816,1.961483
103.0340,1.962161
103.1864,1.945276
103.3388,1.915311
103.4912,1.897099
103.6436,1.885675
103.7960,1.869602
103.9484,1.879208
104.1008,1.850825
104.2532,1.806883
104.4056,1.778993
104.5580,1.775189
104.7104,1.784083
104.8628,1.821063
105.0152,1.864034
105.1676,1.920307
105.3200,1.93376
105.4724,1.937773
105.6248,1.916345
105.7772,1.885607
105.9296,1.861342
106.0820,1.823405
106.2344,1.807848
106.3868,1.838109
106.5392,1.878636
106.6916,1.922281
106.8440,1.965953
106.9964,1.997319
107.1488,2.007839
107.3012,2.011925
107.4536,1.983875
107.6060,1.934505
107.7584,1.882794
107.9108,1.804753
108.0632,1.769513
108.2156,1.746498
108.3680,1.785016
108.5204,1.784246
108.6728,1.869686
108.8252,1.939433
108.9776,1.969887
109.1300,1.993651
109.2824,1.983102
109.4348,1.958171
109.5872,1.939118
109.7396,1.911744
109.8920,1.897048
110.0444,1.890829
110.1968,1.891769
110.3492,1.896133
110.5016,1.920413
110.6540,1.956155
110.8064,1.950769
110.9588,1.967396
111.1112,1.97814
111.2636,1.98213
111.4160,1.976545
111.5684,1.976194
111.7208,1.96829
111.8732,1.966553
112.0256,1.964442
112.1780,1.958925
112.3304,1.95283
112.4828,1.944391
112.6352,1.929225
112.7876,1.908944
112.9400,1.885289
113.0924,1.876328
113.2448,1.886413
113.3972,1.90573
113.5496,1.937334
113.7020,1.939581
113.8544,1.943981
114.0068,1.946239
114.1592,1.925935
114.3116,1.9296
114.4640,1.93721
114.6164,1.930347
114.7688,1.956574
114.9212,1.971808
115.0736,1.969086
115.2260,1.965022
115.3784,1.939593
115.5308,1.909209
115.6832,1.91709
115.8356,1.913551
115.9880,1.931107
116.1404,1.935951
116.2928,1.930173
116.4452,1.924719
116.5976,1.913473
116.7500,1.879204
116.9024,1.845396
117.0548,1.811669
117.2072,1.813022
117.3596,1.822825
117.5120,1.849679
117.6644,1.880206
117.8168,1.915779
117.9692,1.93381
118.1216,1.936489
118.2740,1.93504
118.4264,1.932719
118.5788,1.930114
118.7312,1.907315
118.8836,1.890422
119.0360,1.874886
119.1884,1.872341
119.3408,1.883378
119.4932,1.903736
119.6456,1.939332
119.7980,1.950565
119.9504,1.940443
120.1028,1.938309
120.2552,1.946967
120.4076,1.930419
120.5600,1.931785
120.7124,1.925684
120.8648,1.9419
121.0172,1.935603
121.1696,1.923683
121.3220,1.905404
121.4744,1.907901
121.6268,1.900858
121.7792,1.909301
121.9316,1.935572
122.0840,1.950665
122.2364,1.945261
122.3888,1.93941
122.5412,1.927978
122.6936,1.894552
122.8460,1.87587
122.9984,1.884815
123.1508,1.864899
123.3032,1.874082
123.4556,1.889073
123.6080,1.873987
123.7604,1.860087
123.9128,1.869777
124.0652,1.887463
124.2176,1.907783
124.3700,1.932197
124.5224,1.941724
124.6748,1.960189
124.8272,1.956125
124.9796,1.951665
125.1320,1.945408
125.2844,1.950335
125.4368,1.942074
125.5892,1.931933
125.7416,1.925046
125.8940,1.931178
126.0464,1.921512
126.1988,1.914815
126.3512,1.89365
126.5036,1.879284
126.6560,1.866964
126.8084,1.859576
126.9608,1.844183
127.1132,1.829376
127.2656,1.835033
127.4180,1.824183
127.5704,1.817152
127.7228,1.838821
127.8752,1.879981
128.0276,1.873055
128.1800,1.891056
128.3324,1.90132
128.4848,1.916626
128.6372,1.931368
128.7896,1.944436
128.9420,1.952775
129.0944,1.986581
129.2468,1.992782
129.3992,2.001677
129.5516,1.998905
129.7040,1.981601
129.8564,1.958769
130.0088,1.959185
130.1612,1.952387
130.3136,1.940055
130.4660,1.943669
130.6184,1.965299
130.7708,1.968366
130.9232,1.971221
131.0756,1.985509
131.2280,1.992728
131.3804,1.998853
131.5328,1.980968
131.6852,1.94646
131.8376,1.918991
131.9900,1.889402
132.1424,1.862607
132.2948,1.865332
132.4472,1.864853
132.5996,1.881638
132.7520,1.898178
132.9044,1.917656
133.0568,1.919023
133.2092,1.919083
133.3616,1.907014
133.5140,1.90858
133.6664,1.923514
133.8188,1.923314
133.9712,1.921729
134.1236,1.922867
134.2760,1.934525
134.4284,1.937786
134.5808,1.942471
134.7332,1.943583
134.8856,1.944848
135.0380,1.928589
135.1904,1.937402
135.3428,1.921398
135.4952,1.912709
135.6476,1.924083
135.8000,1.952306
135.9524,1.943765
136.1048,1.931886
136.2572,1.890138
136.4096,1.846821
136.5620,1.815165
136.7144,1.797603
136.8668,1.796214
137.0192,1.837853
137.1716,1.864591
137.3240,1.83177
137.4764,1.850131
137.6288,1.891865
137.7812,1.919343
137.9336,1.914695
138.0860,1.933091
138.2384,1.93531
138.3908,1.942767
138.5432,1.920903
138.6956,1.914458
138.8480,1.908083
139.0004,1.910757
139.1528,1.890599
139.3052,1.882211
139.4576,1.892169
139.6100,1.897314
139.7624,1.870353
139.9148,1.856997
140.0672,1.862826
140.2196,1.855654
140.3720,1.842355
140.5244,1.852477
140.6768,1.898875
140.8292,1.930875
140.9816,1.932156
141.1340,1.912012
141.2864,1.89429
141.4388,1.890898
141.5912,1.916056
141.7436,1.954483
141.8960,1.990381
142.0484,2.004627
142.2008,1.998748
142.3532,1.938395
142.5056,1.890631
142.6580,1.87261
142.8104,1.844047
142.9628,1.824743
143.1152,1.870298
143.2676,1.920447
143.4200,1.939271
143.5724,1.949967
143.7248,1.936546
143.8772,1.941649
144.0296,1.938082
144.1820,1.94406
144.3344,1.95339
144.4868,1.977682
144.6392,1.975753
144.7916,1.954678
144.9440,1.951246
145.0964,1.967767
145.2488,1.959767
145.4012,1.958088
145.5536,1.979431
145.7060,1.979243
145.8584,1.979138
146.0108,1.975103
146.1632,1.973428
146.3156,1.958107
146.4680,1.963186
146.6204,1.970186
146.7728,1.982109
146.9252,1.972839
147.0776,1.976952
147.2300,1.962388
147.3824,1.950861
147.5348,1.91323
147.6872,1.877764
147.8396,1.850073
147.9920,1.846356
148.1444,1.869307
148.2968,1.907571
148.4492,1.943672
148.6016,1.980262
148.7540,2.001822
148.9064,2.005403
149.0588,1.995054
149.2112,1.977194
149.3636,1.938755
149.5160,1.897894
149.6684,1.880852
149.8208,1.892829
149.9732,1.933026
150.1256,1.983459
150.2780,2.004041
150.4304,2.013165
150.5828,2.020751
150.7352,2.016584
150.8876,2.029176
151.0400,2.028233
151.1924,2.022255
151.3448,1.979798
151.4972,1.936492
151.6496,1.905491
151.8020,1.886281
151.9544,1.899729
152.1068,1.945827
152.2592,1.952613
152.4116,1.981403
152.5640,1.991389
152.7164,2.000055
152.8688,2.015475
153.0212,2.03019
153.1736,2.043265
153.3260,2.045443
153.4784,2.032721
153.6308,2.030505
153.7832,2.01144
153.9356,1.98987
154.0880,1.979471
154.2404,1.973644
154.3928,1.973351
154.5452,1.979624
154.6976,1.975136
154.8500,1.963917
155.0024,1.934798
155.1548,1.897679
155.3072,1.891681
155.4596,1.898429
155.6120,1.904201
155.7644,1.925723
155.9168,1.957842
156.0692,1.972861
156.2216,1.974742
156.3740,1.973832
156.5264,1.977493
156.6788,1.971883
156.8312,1.986868
156.9836,2.009989
157.1360,2.02
157.2884,2.022139
157.4408,2.009783
157.5932,1.978263
