x_coord,depth_coord,vs,vp,density
-37085.41863064465,-873.10077,120.44875234420557,1658.8700108166088,1912.3685523651295
-36918.37838444538,-886.492350126884,122.34066834243896,1659.484074035847,1912.1883308486606
-36751.33813824611,-899.8839302537681,124.23258434067237,1660.0981372550852,1912.008109332192
-36584.29789204684,-913.2755103806521,126.12450033890576,1660.7122004743233,1911.827887815723
-36417.25764584757,-926.667090507536,128.01641633713916,1661.3262636935615,1911.647666299254
-36250.217399648296,-940.0586706344201,129.9083323353726,1661.9403269128,1911.4674447827854
-36083.177153449025,-951.5817107507597,131.80024833360596,1662.5543901320382,1911.2872232663165
-35916.13690724975,-957.6288811612438,133.69216433183936,1663.1684533512762,1911.1070017498478
-35749.09666105048,-963.6760515717276,135.58408033007277,1663.7825165705144,1910.9267802333788
-35582.056414851206,-969.9204354991168,137.47599632830614,1664.3965797897526,1910.74655871691
-35415.016168651935,-976.9756031929819,139.36791232653957,1665.0106430089909,1910.566337200441
-35247.975922452664,-984.030770886847,141.25982832477297,1665.6247062282291,1910.3861156839723
-35080.93567625339,-991.0859385807122,143.15174432300637,1666.2387694474671,1910.2058941675036
-34913.89543005412,-995.087905748788,145.04366032123974,1666.8528326667054,1910.0256726510347
-34746.85518385485,-997.7515417739677,146.93557631947314,1667.4668958859436,1909.8454511345658
-34579.81493765558,-1000.4151777991473,148.82749231770657,1668.080959105182,1909.6652296180969
-34412.77469145631,-1003.078813824327,150.71940831593994,1668.69502232442,1909.4850081016282
-34245.73444525704,-1004.938705497141,152.61132431417334,1669.3090855436583,1909.3047865851593
-34078.69419905777,-1005.9950119274499,154.50324031240675,1669.9231487628965,1909.1245650686906
-33911.6539528585,-1006.3092555642423,156.39515631064015,1670.5372119821347,1908.9443435522214
-33744.61370665922,-1006.4919501292327,158.28707230887355,1671.1512752013728,1908.7641220357527
-33577.57346045995,-1007.4789385956143,160.17898830710695,1671.765338420611,1908.583900519284
-33410.53321426068,-1008.465927061996,162.07090430534035,1672.3794016398492,1908.4036790028151
-33243.49296806141,-1009.4529155283776,163.96282030357372,1672.9934648590875,1908.2234574863464
-33076.45272186214,-1010.340702694458,165.85473630180715,1673.607528078326,1908.0432359698775
