#HOLE:,U1518B
#EXPEDITION:,372
#TOP:,54.9772
#BOTTOM:,565.0600
DEPTH_LSF,DTCO,DTSM,VCO,VSH
m,us/ft,us/ft,km/s,km/s
73.8748,168.89688,-999.25,1.8047,-999.25
74.0272,168.75793,-999.25,1.8061,-999.25
74.1796,169.15077,-999.25,1.8019,-999.25
74.3320,169.86412,-999.25,1.7944,-999.25
74.4844,170.56691,-999.25,1.7870,-999.25
74.6368,170.72649,-999.25,1.7853,-999.25
74.7892,171.02875,-999.25,1.7822,-999.25
74.9416,171.68198,-999.25,1.7754,-999.25
75.0940,171.11145,-999.25,1.7813,-999.25
75.2464,169.75479,-999.25,1.7955,-999.25
75.3988,168.10899,-999.25,1.8131,-999.25
75.5512,167.35406,-999.25,1.8213,-999.25
75.7036,168.05739,-999.25,1.8137,-999.25
75.8560,169.96284,-999.25,1.7933,-999.25
76.0084,170.95245,-999.25,1.7830,-999.25
76.1608,169.81198,-999.25,1.7949,-999.25
76.3132,167.19981,-999.25,1.8230,-999.25
76.4656,164.58426,-999.25,1.8519,-999.25
76.6180,163.39648,-999.25,1.8654,-999.25
76.7704,163.66376,-999.25,1.8624,-999.25
76.9228,165.37038,-999.25,1.8431,-999.25
77.0752,167.27490,-999.25,1.8222,-999.25
77.2276,168.45598,-999.25,1.8094,-999.25
77.3800,168.73222,-999.25,1.8064,-999.25
77.5324,170.06563,-999.25,1.7922,-999.25
77.6848,172.12595,-999.25,1.7708,-999.25
77.8372,173.99178,-999.25,1.7518,-999.25
77.9896,174.96404,-999.25,1.7421,-999.25
78.1420,174.34567,-999.25,1.7483,-999.25
78.2944,172.68808,-999.25,1.7650,-999.25
78.4468,170.17160,-999.25,1.7911,-999.25
78.5992,167.68993,-999.25,1.8176,-999.25
78.7516,166.22362,-999.25,1.8337,-999.25
78.9040,165.26680,-999.25,1.8443,-999.25
79.0564,164.12253,-999.25,1.8571,-999.25
79.2088,162.65886,-999.25,1.8739,-999.25
79.3612,161.52068,-999.25,1.8871,-999.25
79.5136,161.83112,-999.25,1.8834,-999.25
79.6660,162.14812,-999.25,1.8798,-999.25
79.8184,162.72690,-999.25,1.8731,-999.25
79.9708,163.95158,-999.25,1.8591,-999.25
80.1232,165.85295,-999.25,1.8378,-999.25
80.2756,167.82625,-999.25,1.8162,-999.25
80.4280,169.16129,-999.25,1.8018,-999.25
80.5804,169.76704,-999.25,1.7954,-999.25
80.7328,168.88145,-999.25,1.8048,-999.25
80.8852,167.52272,-999.25,1.8195,-999.25
81.0376,165.99002,-999.25,1.8363,-999.25
81.1900,165.09361,-999.25,1.8462,-999.25
81.3424,164.88091,-999.25,1.8486,-999.25
81.4948,165.33546,-999.25,1.8435,-999.25
81.6472,165.10912,-999.25,1.8461,-999.25
81.7996,164.84550,-999.25,1.8490,-999.25
81.9520,166.58694,-999.25,1.8297,-999.25
82.1044,168.15996,-999.25,1.8126,-999.25
82.2568,167.21797,-999.25,1.8228,-999.25
82.4092,165.28564,-999.25,1.8441,-999.25
82.5616,164.46576,-999.25,1.8533,-999.25
82.7140,164.40237,-999.25,1.8540,-999.25
82.8664,164.77031,-999.25,1.8498,-999.25
83.0188,165.79138,-999.25,1.8385,-999.25
83.1712,166.62376,-999.25,1.8293,-999.25
83.3236,166.98311,-999.25,1.8253,-999.25
83.4760,166.81418,-999.25,1.8272,-999.25
83.6284,166.55170,-999.25,1.8301,-999.25
83.7808,166.50615,-999.25,1.8306,-999.25
83.9332,165.58911,-999.25,1.8407,-999.25
84.0856,163.88148,-999.25,1.8599,-999.25
84.2380,162.42067,-999.25,1.8766,-999.25
84.3904,161.23502,-999.25,1.8904,-999.25
84.5428,160.48674,-999.25,1.8992,-999.25
84.6952,159.57303,-999.25,1.9101,-999.25
84.8476,160.14664,-999.25,1.9033,-999.25
85.0000,162.76756,-999.25,1.8726,-999.25
85.1524,165.45236,-999.25,1.8422,-999.25
85.3048,166.79008,-999.25,1.8274,-999.25
85.4572,166.63521,-999.25,1.8291,-999.25
85.6096,165.74428,-999.25,1.8390,-999.25
85.7620,165.83702,-999.25,1.8379,-999.25
85.9144,165.87926,-999.25,1.8375,-999.25
86.0668,165.25464,-999.25,1.8444,-999.25
86.2192,164.96118,-999.25,1.8477,-999.25
86.3716,165.04778,-999.25,1.8467,-999.25
86.5240,165.85469,-999.25,1.8378,-999.25
86.6764,167.40909,-999.25,1.8207,-999.25
86.8288,169.07275,-999.25,1.8028,-999.25
86.9812,169.61655,-999.25,1.7970,-999.25
87.1336,168.60684,-999.25,1.8078,-999.25
87.2860,166.47681,-999.25,1.8309,-999.25
87.4384,165.50325,-999.25,1.8417,-999.25
87.5908,166.40497,-999.25,1.8317,-999.25
87.7432,168.82983,-999.25,1.8054,-999.25
87.8956,170.86952,-999.25,1.7838,-999.25
88.0480,171.83492,-999.25,1.7738,-999.25
88.2004,170.56790,-999.25,1.7870,-999.25
88.3528,168.77478,-999.25,1.8060,-999.25
88.5052,168.45824,-999.25,1.8094,-999.25
88.6576,169.16490,-999.25,1.8018,-999.25
88.8100,170.27205,-999.25,1.7901,-999.25
88.9624,171.05637,-999.25,1.7819,-999.25
89.1148,170.16673,-999.25,1.7912,-999.25
89.2672,167.37761,-999.25,1.8210,-999.25
89.4196,164.87152,-999.25,1.8487,-999.25
89.5720,165.35997,-999.25,1.8433,-999.25
89.7244,165.97252,-999.25,1.8364,-999.25
89.8768,165.08540,-999.25,1.8463,-999.25
90.0292,162.58163,-999.25,1.8748,-999.25
90.1816,159.92943,-999.25,1.9058,-999.25
90.3340,158.45122,-999.25,1.9236,-999.25
90.4864,158.45692,-999.25,1.9236,-999.25
90.6388,160.08182,-999.25,1.9040,-999.25
90.7912,163.32504,-999.25,1.8662,-999.25
90.9436,166.49986,-999.25,1.8306,-999.25
91.0960,167.82710,-999.25,1.8162,-999.25
91.2484,167.41795,-999.25,1.8206,-999.25
91.4008,166.46515,-999.25,1.8310,-999.25
91.5532,167.27145,-999.25,1.8222,-999.25
91.7056,167.43752,-999.25,1.8204,-999.25
91.8580,166.18909,-999.25,1.8341,-999.25
92.0104,164.33492,-999.25,1.8547,-999.25
92.1628,163.00963,-999.25,1.8698,-999.25
92.3152,161.93761,-999.25,1.8822,-999.25
92.4676,161.16940,-999.25,1.8912,-999.25
92.6200,161.91690,-999.25,1.8824,-999.25
92.7724,164.17696,-999.25,1.8565,-999.25
92.9248,165.50815,-999.25,1.8416,-999.25
93.0772,165.36278,-999.25,1.8432,-999.25
93.2296,164.81548,-999.25,1.8493,-999.25
93.3820,164.18330,-999.25,1.8565,-999.25
93.5344,162.49303,-999.25,1.8758,-999.25
93.6868,161.18742,-999.25,1.8910,-999.25
93.8392,159.63840,-999.25,1.9093,-999.25
93.9916,158.53941,-999.25,1.9226,-999.25
94.1440,158.71353,-999.25,1.9204,-999.25
94.2964,161.19832,-999.25,1.8908,-999.25
94.4488,164.54114,-999.25,1.8524,-999.25
94.6012,167.58551,-999.25,1.8188,-999.25
94.7536,168.70818,-999.25,1.8067,-999.25
94.9060,167.29919,-999.25,1.8219,-999.25
