#HOLE:,U1519A
#EXPEDITION:,372
#TOP:,26.7013
#BOTTOM:,644.3784
DEPTH_LSF,RHON
m,g/cm3
74.2501,2.048299
74.4025,2.045428
74.5549,2.038449
74.7073,2.040105
74.8597,2.044246
75.0121,2.047644
75.1645,2.031185
75.3169,2.020651
75.4693,2.021324
75.6217,2.021513
75.7741,2.02017
75.9265,2.01808
76.0789,2.022362
76.2313,2.03686
76.3837,2.043669
76.5361,2.034005
76.6885,2.044115
76.8409,2.039496
76.9933,2.03828
77.1457,2.040502
77.2981,2.031006
77.4505,2.024884
77.6029,2.020147
77.7553,2.006449
77.9077,2.005215
78.0601,2.011139
78.2125,2.002646
78.3649,2.013627
78.5173,2.002866
78.6697,2.003273
78.8221,2.003151
78.9745,1.996373
79.1269,2.000338
79.2793,2.003111
79.4317,2.007877
79.5841,2.019542
79.7365,2.012043
79.8889,1.99335
80.0413,1.989039
80.1937,1.974673
80.3461,1.969084
80.4985,1.961611
80.6509,1.977875
80.8033,1.996796
80.9557,1.986712
81.1081,1.967278
81.2605,1.940808
81.4129,1.91494
81.5653,1.890521
81.7177,1.868827
81.8701,1.864832
82.0225,1.888684
82.1749,1.907204
82.3273,1.924118
82.4797,1.930702
82.6321,1.945283
82.7845,1.961703
82.9369,1.98016
83.0893,1.973378
83.2417,1.962034
83.3941,1.959905
83.5465,1.962454
83.6989,1.962501
83.8513,1.981648
84.0037,1.996002
84.1561,2.017978
84.3085,2.035385
84.4609,2.041437
84.6133,2.045558
84.7657,2.061014
84.9181,2.051563
85.0705,2.051417
85.2229,2.036859
85.3753,2.007066
85.5277,1.95381
85.6801,1.866678
85.8325,1.806276
85.9849,1.732126
86.1373,1.655313
86.2897,1.627906
86.4421,1.653812
86.5945,1.666244
86.7469,1.729354
86.8993,1.772928
87.0517,1.813465
87.2041,1.827633
87.3565,1.821936
87.5089,1.825649
87.6613,1.838498
87.8137,1.836859
87.9661,1.841285
88.1185,1.859231
88.2709,1.880208
88.4233,1.898075
88.5757,1.912251
88.7281,1.929089
88.8805,1.934582
89.0329,1.947308
89.1853,1.954993
89.3377,1.958754
89.4901,1.957699
89.6425,1.965449
89.7949,1.961885
89.9473,1.969937
90.0997,1.974497
90.2521,1.972476
90.4045,1.980587
90.5569,1.981101
90.7093,1.963565
90.8617,1.967764
91.0141,1.957197
91.1665,1.941996
91.3189,1.937178
91.4713,1.93765
91.6237,1.939193
91.7761,1.949975
91.9285,1.95307
92.0809,1.971355
92.2333,1.972799
92.3857,1.970551
92.5381,1.985909
92.6905,1.994709
92.8429,1.987713
92.9953,1.976742
93.1477,1.967631
93.3001,1.968928
93.4525,1.963773
93.6049,1.94808
93.7573,1.932431
93.9097,1.941135
94.0621,1.946321
94.2145,1.946586
94.3669,1.941698
94.5193,1.950368
94.6717,1.958314
94.8241,1.960641
94.9765,1.95187
95.1289,1.945369
95.2813,1.948516
95.4337,1.942596
95.5861,1.940415
95.7385,1.930641
95.8909,1.931532
96.0433,1.926094
96.1957,1.926093
96.3481,1.905308
96.5005,1.888089
96.6529,1.887969
96.8053,1.883497
96.9577,1.880074
97.1101,1.888257
97.2625,1.89747
97.4149,1.909471
97.5673,1.901741
97.7197,1.904574
97.8721,1.906957
98.0245,1.906133
98.1769,1.907474
98.3293,1.914711
98.4817,1.914511
98.6341,1.924688
98.7865,1.92012
98.9389,1.921512
99.0913,1.921957
99.2437,1.928511
99.3961,1.93802
99.5485,1.934771
99.7009,1.937372
99.8533,1.955624
100.0057,1.947978
100.1581,1.936294
100.3105,1.920169
100.4629,1.898383
100.6153,1.887682
100.7677,1.8669
100.9201,1.856199
101.0725,1.875023
101.2249,1.891984
101.3773,1.889472
101.5297,1.882674
101.6821,1.878183
101.8345,1.880493
101.9869,1.878069
102.1393,1.882658
102.2917,1.882758
102.4441,1.875049
102.5965,1.875958
102.7489,1.866458
102.9013,1.847143
103.0537,1.848468
103.2061,1.869918
103.3585,1.90453
103.5109,1.921108
103.6633,1.928226
103.8157,1.935278
103.9681,1.932006
104.1205,1.926376
104.2729,1.934641
104.4253,1.925829
104.5777,1.922784
104.7301,1.919706
104.8825,1.894484
105.0349,1.877746
105.1873,1.875376
105.3397,1.868092
105.4921,1.876012
105.6445,1.88185
105.7969,1.896773
105.9493,1.890564
106.1017,1.878399
106.2541,1.86697
106.4065,1.868057
106.5589,1.868931
106.7113,1.884285
106.8637,1.9097
107.0161,1.94244
107.1685,1.953082
107.3209,1.953792
107.4733,1.940402
107.6257,1.935143
107.7781,1.934176
107.9305,1.937311
108.0829,1.934227
108.2353,1.938604
108.3877,1.923861
108.5401,1.923435
108.6925,1.920442
108.8449,1.902035
108.9973,1.888908
109.1497,1.87548
109.3021,1.871434
109.4545,1.882031
109.6069,1.894834
109.7593,1.924868
109.9117,1.960963
110.0641,1.971707
110.2165,1.969947
110.3689,1.97761
110.5213,1.973393
110.6737,1.965504
110.8261,1.959204
110.9785,1.959162
111.1309,1.968192
111.2833,1.974566
111.4357,1.987811
111.5881,1.989094
111.7405,1.999449
111.8929,2.002621
112.0453,2.002523
112.1977,1.994466
112.3501,1.99596
112.5025,1.975587
112.6549,1.969314
112.8073,1.966567
112.9597,1.970011
113.1121,1.983975
113.2645,1.988582
113.4169,1.987603
113.5693,1.981062
113.7217,1.983166
113.8741,1.992009
114.0265,1.971126
114.1789,1.957345
114.3313,1.95743
114.4837,1.963542
114.6361,1.965296
114.7885,1.964687
114.9409,1.958619
115.0933,1.977313
115.2457,1.975318
115.3981,1.980608
115.5505,1.982326
115.7029,1.975967
115.8553,1.971222
116.0077,1.959308
116.1601,1.966167
116.3125,1.973891
116.4649,1.980323
116.6173,1.985858
116.7697,1.991879
116.9221,2.000007
117.0745,2.014175
117.2269,2.006602
117.3793,1.995545
117.5317,2.002157
117.6841,1.997259
117.8365,1.99149
117.9889,1.975948
118.1413,1.972084
118.2937,1.965474
118.4461,1.973655
118.5985,1.973862
118.7509,1.969489
118.9033,1.959372
119.0557,1.956721
119.2081,1.961183
119.3605,1.972633
119.5129,1.969476
119.6653,1.974359
119.8177,1.97502
119.9701,1.974274
120.1225,1.981507
120.2749,1.972788
120.4273,1.964202
120.5797,1.972753
120.7321,1.971238
120.8845,1.970355
121.0369,1.96676
121.1893,1.959169
121.3417,1.959595
121.4941,1.96561
121.6465,1.983306
121.7989,1.991497
121.9513,2.001274
122.1037,1.992733
122.2561,1.992806
122.4085,1.980386
122.5609,1.982197
122.7133,1.96234
122.8657,1.960173
123.0181,1.953669
123.1705,1.963452
123.3229,1.969443
123.4753,1.979818
123.6277,1.975045
123.7801,1.989132
123.9325,2.002145
124.0849,1.985263
124.2373,1.982201
124.3897,1.985402
124.5421,1.979407
124.6945,1.982901
124.8469,1.982188
124.9993,1.970858
125.1517,1.961582
125.3041,1.952787
125.4565,1.948639
125.6089,1.958891
125.7613,1.968326
125.9137,1.982382
126.0661,1.993898
126.2185,1.995881
126.3709,2.001754
126.5233,1.989832
126.6757,1.99071
126.8281,1.986697
126.9805,1.981432
127.1329,1.977278
127.2853,1.978011
127.4377,1.963819
127.5901,1.949087
127.7425,1.940862
127.8949,1.93749
128.0473,1.934444
128.1997,1.937496
128.3521,1.936706
128.5045,1.936082
128.6569,1.950623
128.8093,1.958496
128.9617,1.947562
129.1141,1.960244
129.2665,1.956573
129.4189,1.950472
129.5713,1.943063
129.7237,1.948631
129.8761,1.940593
130.0285,1.94584
130.1809,1.945186
130.3333,1.958603
130.4857,1.973523
130.6381,1.986797
130.7905,1.982263
130.9429,1.98811
131.0953,1.985662
131.2477,1.975028
131.4001,1.976279
131.5525,1.969627
131.7049,1.965511
131.8573,1.982993
132.0097,1.990444
132.1621,1.999067
132.3145,2.001809
132.4669,1.988674
132.6193,1.989156
132.7717,1.988358
132.9241,1.982204
133.0765,1.976922
133.2289,1.96488
133.3813,1.958218
133.5337,1.965266
133.6861,1.953068
133.8385,1.94239
133.9909,1.941013
134.1433,1.948929
134.2957,1.943107
134.4481,1.932117
134.6005,1.950006
134.7529,1.972294
134.9053,1.985115
135.0577,1.998002
135.2101,2.011719
135.3625,2.027406
135.5149,2.037155
135.6673,2.029593
135.8197,2.002631
135.9721,1.987218
136.1245,1.968083
136.2769,1.967164
136.4293,1.966399
136.5817,1.972661
136.7341,1.97273
136.8865,1.977148
137.0389,1.979274
137.1913,2.00618
137.3437,2.015858
137.4961,2.012726
137.6485,2.004407
137.8009,1.99479
137.9533,1.978808
138.1057,1.971002
138.2581,1.958903
138.4105,1.955825
138.5629,1.972726
138.7153,1.992014
138.8677,2.00099
139.0201,2.018367
139.1725,2.038514
139.3249,2.039899
139.4773,2.034373
139.6297,2.026275
139.7821,2.013423
139.9345,2.01147
140.0869,1.992912
140.2393,2.012187
140.3917,2.00747
140.5441,2.020006
140.6965,2.027189
140.8489,2.037014
141.0013,2.038294
141.1537,2.053076
141.3061,2.025315
141.4585,2.030754
141.6109,2.020159
141.7633,2.010854
141.9157,1.994722
142.0681,1.980332
142.2205,1.958754
142.3729,1.950467
142.5253,1.91979
142.6777,1.886202
142.8301,1.825743
142.9825,1.767081
143.1349,1.698679
143.2873,1.623332
143.4397,1.541705
143.5921,1.51596
143.7445,1.496205
143.8969,1.441163
144.0493,1.413067
144.2017,1.401212
144.3541,1.363057
144.5065,1.359524
144.6589,1.392634
144.8113,1.431644
144.9637,1.446957
145.1161,1.465934
145.2685,1.459844
145.4209,1.471726
145.5732,1.460279
145.7256,1.443514
145.8780,1.373995
146.0304,1.286222
146.1828,1.175487
146.3352,1.097904
146.4876,1.014271
146.6400,1.004073
146.7924,1.025672
146.9448,1.061662
147.0972,1.085794
147.2496,1.111249
147.4020,1.147746
147.5544,1.194263
147.7068,1.235267
147.8592,1.24037
148.0116,1.221659
148.1640,1.172762
148.3164,1.151538
148.4688,1.123877
148.6212,1.139398
148.7736,1.120078
148.9260,1.135102
149.0784,1.115375
149.2308,1.104032
